UNDERLYING_LAST,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE
475.93,1/7/2022,4.15,0.03102,0.01301,0.03899,-0.03338,0.00234,0.09837,948.0,0.07,486.0,0.021,10.07
475.93,1/7/2022,4.15,0.02254,0.00965,0.02959,-0.02477,0.00168,0.09948,410.0,0.05,487.0,0.023,11.07
468.46,1/7/2022,2.0,0.34208,0.06022,0.14903,-0.44829,0.01179,0.15034,12573.0,1.38,471.0,0.005,2.54
468.46,1/7/2022,2.0,0.28214,0.05591,0.13694,-0.40061,0.00991,0.14928,14760.0,1.05,472.0,0.008,3.54
468.46,1/7/2022,2.0,0.40615,0.06197,0.15723,-0.49252,0.01386,0.15449,8117.0,1.8,470.0,0.003,1.54
468.46,1/7/2022,2.0,0.53171,0.06134,0.16112,-0.52692,0.01791,0.16041,1086.0,2.84,468.0,0.001,-0.46
468.46,1/7/2022,2.0,0.46914,0.06248,0.1607,-0.51788,0.01645,0.15777,3251.0,2.27,469.0,0.001,0.54
475.93,1/7/2022,4.15,0.29822,0.05907,0.19065,-0.21178,0.01885,0.10691,2551.0,1.09,479.0,0.006,3.07
475.93,1/7/2022,4.15,0.23575,0.05391,0.16981,-0.18106,0.01454,0.10371,8576.0,0.78,480.0,0.009,4.07
475.93,1/7/2022,4.15,0.36305,0.0622,0.2063,-0.23724,0.02295,0.10998,3742.0,1.47,478.0,0.004,2.07
